Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2010,February,Primary Fire,Dwelling,0,0,E09000025,Newham,E05013927,West Ham,Electricity,Washing machine,Wiring insulation,Kitchen,INDESIT,NULL,Not Identifiable
2010,January,Primary Fire,Dwelling,0,0,E09000024,Merton,E05013828,Wimbledon Park,Electricity,Tumble dryer - Standard,Not known,Utility room,HOTPOINT,NULL,exxcel 
2010,February,Primary Fire,Dwelling,0,0,E09000023,Lewisham,E05013725,Ladywell,Electricity,Dishwasher,Not known,Utility room,BOSCH,NULL,Silver Edition
2010,February,Primary Fire,Dwelling,0,1,E09000009,Ealing,E05013518,Central Greenford,Electricity,Washing machine,Not known,Kitchen,SERVIS,NULL,M3006W
2010,March,Primary Fire,Dwelling,0,0,E09000015,Harrow,E05013544,Centenary,Electricity,Washing machine,Plastic - raw material only,Kitchen,HOTPOINT,NULL,AQUARIAS WD420
2010,December,Primary Fire,Dwelling,0,0,E09000003,Barnet,E05013637,Edgware,Electricity,Tumble dryer - Standard,Wiring insulation,Kitchen,CREDA,NULL,37642
2010,October,Primary Fire,Dwelling,0,0,E09000022,Lambeth,E05014096,Brixton North,Electricity,Dishwasher,Other/Unspecified furnishings,Kitchen,MATSUI,NULL,MS RSA SERIAL 807  007329
2010,October,Primary Fire,Dwelling,0,0,E09000015,Harrow,E05013552,Kenton West,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,FRIGIDAIRE,NULL,RL6003A
2010,October,Primary Fire,Dwelling,0,0,E09000008,Croydon,E05011476,Purley & Woodcote,Electricity,Washing machine,Wiring insulation,Utility room,ZANUSSI,NULL,jetsystem 1000
2010,October,Primary Fire,Dwelling,0,0,E09000016,Havering,E05013986,Upminster,Electricity,Dishwasher,Plastic - raw material only,Kitchen,HOTPOINT,NULL,Aquarius
2010,January,Primary Fire,Dwelling,0,0,E09000007,Camden,E05013657,Frognal,Electricity,Tumble dryer - Standard,Wiring insulation,Utility room,BOSCH,NULL,Undetermined
2010,October,Primary Fire,Dwelling,0,0,E09000032,Wandsworth,E05014022,Thamesfield,Electricity,Tumble dryer - Standard,Clothing,"Under stairs (enclosed, storage area)",AEG,NULL,lavatherm 500re
2010,November,Primary Fire,Dwelling,0,0,E09000029,Sutton,E05013766,Sutton North,Electricity,Dishwasher,Internal Fittings,Kitchen,BOSCH,NULL,maxi slim line dish washer
2010,November,Primary Fire,Dwelling,0,0,E09000020,Kensington and Chelsea,E05009402,Redcliffe,Electricity,Washing machine,Wiring insulation,Kitchen,BOSCH,NULL,excel
2010,November,Primary Fire,Dwelling,0,0,E09000002,Barking and Dagenham,E05014063,Heath,Electricity,Tumble dryer - Standard,Other textiles,Utility room,INDESIT,NULL,is60v
2010,October,Primary Fire,Dwelling,0,0,E09000006,Bromley,E05014004,Plaistow,Electricity,Washing machine,Not known,Kitchen,NULL,NULL,NULL
2010,November,Primary Fire,Dwelling,0,0,E09000010,Enfield,E05013687,Oakwood,Electricity,Washer/Dryer combined,Clothing,Kitchen,PHILCO,NULL,tumble dryer
